time_s,total_rate_bps,jain,min_rate_bps,mean_rate_bps,handovers
1.000000,1893581133.198750,0.892220,50042240.319497,94679056.659937,0.000000
2.000000,1893773372.798573,0.892337,50048625.020230,94688668.639929,0.000000
3.000000,1893781595.934345,0.892206,50066316.984371,94689079.796717,0.000000
4.000000,1893613565.147758,0.892226,50115773.744033,94680678.257388,0.000000
5.000000,1893797853.399262,0.892154,50175050.709189,94689892.669963,0.000000
6.000000,1894346142.218277,0.892109,50257306.113356,94717307.110914,0.000000
7.000000,1894624123.196469,0.892058,50318738.193326,94731206.159823,0.000000
8.000000,1894711883.828402,0.892051,50347267.005654,94735594.191420,0.000000
9.000000,1894333204.585355,0.892132,50374453.321983,94716660.229268,0.000000
10.000000,1893264221.974509,0.892153,50398651.307144,94663211.098725,0.000000
11.000000,1892301654.562669,0.892150,50409208.691553,94615082.728133,0.000000
12.000000,1891519047.556418,0.892040,50391274.410356,94575952.377821,0.000000
13.000000,1891260030.177040,0.891817,50343316.888085,94563001.508852,0.000000
14.000000,1891276502.794096,0.891715,50289044.747652,94563825.139705,0.000000
15.000000,1891565184.882838,0.891681,50237033.429193,94578259.244142,0.000000
16.000000,1891535413.112391,0.891599,50184561.411318,94576770.655620,0.000000
17.000000,1891092214.254137,0.891580,50140719.485274,94554610.712707,0.000000
18.000000,1890470726.187534,0.891603,50085218.464152,94523536.309377,0.000000
19.000000,1890199578.136039,0.891651,50078432.404126,94509978.906802,0.000000
20.000000,1889479791.701269,0.891739,50082744.278361,94473989.585063,0.000000
21.000000,1888668501.330822,0.891951,50075660.444815,94433425.066541,0.000000
22.000000,1888469441.072586,0.892185,50121201.307599,94423472.053629,0.000000
23.000000,1888444431.544695,0.892300,50137382.997668,94422221.577235,0.000000
24.000000,1888033408.986374,0.892474,50124373.901597,94401670.449319,0.000000
25.000000,1887957415.758374,0.892636,50132133.362192,94397870.787919,0.000000
26.000000,1888094209.339602,0.892868,50082794.190736,94404710.466980,0.000000
27.000000,1887990143.761241,0.893103,50063491.353911,94399507.188062,0.000000
28.000000,1888025636.543039,0.893395,50057035.246282,94401281.827152,0.000000
29.000000,1888577029.366769,0.893536,50071050.091456,94428851.468338,0.000000
30.000000,1888514032.696523,0.893763,50099750.305158,94425701.634826,0.000000
31.000000,1888110869.722438,0.893962,50109314.337211,94405543.486122,0.000000
32.000000,1888613892.480917,0.894062,50114819.499712,94430694.624046,0.000000
33.000000,1889659665.755156,0.894149,50107659.329927,94482983.287758,0.000000
34.000000,1890538664.567976,0.894363,50085788.483988,94526933.228399,0.000000
35.000000,1890951185.699858,0.894724,50050769.930897,94547559.284993,0.000000
36.000000,1890587914.766970,0.895011,50029134.561007,94529395.738349,0.000000
37.000000,1890358253.969770,0.895243,50047393.196760,94517912.698489,0.000000
38.000000,1889886164.122921,0.895419,50056310.352613,94494308.206146,0.000000
39.000000,1889649096.243343,0.895411,50054175.431678,94482454.812167,0.000000
40.000000,1889028194.467209,0.895388,50021160.745684,94451409.723360,0.000000
41.000000,1888983123.712758,0.895449,49987119.672649,94449156.185638,0.000000
42.000000,1888836621.569780,0.895523,49895706.185384,94441831.078489,0.000000
43.000000,1889144737.577986,0.895542,49854937.439271,94457236.878899,0.000000
44.000000,1888696417.168815,0.895499,49912183.244129,94434820.858441,0.000000
45.000000,1887874799.026184,0.895478,50004505.851757,94393739.951309,0.000000
46.000000,1887224957.645408,0.895547,50071832.746392,94361247.882270,0.000000
47.000000,1886756480.475838,0.895570,50157341.527651,94337824.023792,0.000000
48.000000,1886220633.117694,0.895421,50237199.735712,94311031.655885,0.000000
49.000000,1885802620.459225,0.895497,50291233.708428,94290131.022961,0.000000
50.000000,1885428682.040634,0.895570,50370494.235493,94271434.102032,0.000000
51.000000,1885561383.943522,0.895651,50410260.587138,94278069.197176,0.000000
52.000000,1885553830.383040,0.895750,50496124.519032,94277691.519152,0.000000
53.000000,1885421989.131514,0.895830,50543031.124377,94271099.456576,0.000000
54.000000,1885303520.868941,0.895913,50560869.367303,94265176.043447,0.000000
55.000000,1885539257.078142,0.895913,50527295.268715,94276962.853907,0.000000
56.000000,1885336804.487256,0.895841,50499728.725568,94266840.224363,0.000000
57.000000,1885397588.824054,0.895788,50466971.927880,94269879.441203,0.000000
58.000000,1885387347.061348,0.895655,50488742.567482,94269367.353067,0.000000
59.000000,1885908013.144010,0.895616,50495488.526736,94295400.657201,0.000000
60.000000,1886162440.165939,0.895643,50531106.848583,94308122.008297,0.000000
61.000000,1886207231.139903,0.895582,50537407.117560,94310361.556995,0.000000
62.000000,1886187738.352590,0.895488,50546214.916282,94309386.917629,0.000000
63.000000,1886111560.488939,0.895424,50512078.609333,94305578.024447,0.000000
64.000000,1885888217.942878,0.895311,50477393.809132,94294410.897144,0.000000
65.000000,1884886094.427429,0.895193,50452095.718246,94244304.721371,0.000000
66.000000,1883900300.336568,0.894985,50432051.549561,94195015.016828,0.000000
67.000000,1883018988.262991,0.894914,50429727.463205,94150949.413150,0.000000
68.000000,1882404951.893319,0.894849,50456888.866143,94120247.594666,0.000000
69.000000,1881450545.042657,0.894768,50482765.348630,94072527.252133,0.000000
70.000000,1880353538.714748,0.894738,50559919.748642,94017676.935737,0.000000
71.000000,1879912258.040186,0.894845,50630017.875732,93995612.902009,0.000000
72.000000,1879271674.342112,0.894923,50664116.572845,93963583.717106,0.000000
73.000000,1878894410.937749,0.895009,50677187.839629,93944720.546887,0.000000
74.000000,1878777534.475355,0.894913,50640105.826263,93938876.723768,1.000000
75.000000,1879097424.754714,0.894867,50669518.169063,93954871.237736,0.000000
76.000000,1879665300.056981,0.894814,50688666.054485,93983265.002849,0.000000
77.000000,1879280083.435220,0.894642,50684014.739809,93964004.171761,0.000000
78.000000,1878873428.129061,0.894688,50643597.170015,93943671.406453,0.000000
79.000000,1878425248.979962,0.894823,50610487.857850,93921262.448998,0.000000
80.000000,1878566815.498161,0.895047,50599581.450165,93928340.774908,0.000000
81.000000,1878610150.445650,0.895151,50623646.069580,93930507.522282,0.000000
82.000000,1878797141.368682,0.895327,50640748.673588,93939857.068434,0.000000
83.000000,1878525961.370275,0.895440,50636582.013206,93926298.068514,0.000000
84.000000,1877936361.245961,0.895396,50644758.741114,93896818.062298,0.000000
85.000000,1878269976.776468,0.895475,50621578.770093,93913498.838823,0.000000
86.000000,1878952169.373886,0.895599,50610645.217755,93947608.468694,0.000000
87.000000,1879740749.629567,0.895619,50562912.633461,93987037.481478,0.000000
88.000000,1880237131.510551,0.895555,50540221.946500,94011856.575528,0.000000
89.000000,1880767395.270754,0.895475,50585190.080554,94038369.763538,0.000000
90.000000,1881464903.397391,0.895470,50630182.995294,94073245.169870,0.000000
91.000000,1882132988.330929,0.895445,50621933.533485,94106649.416546,0.000000
92.000000,1882293453.140816,0.895250,50561335.776636,94114672.657041,0.000000
93.000000,1882314524.926012,0.895048,50532803.146338,94115726.246301,0.000000
94.000000,1882126513.660329,0.894925,50492427.017293,94106325.683016,0.000000
