time_s,fixed_total_bps,greedy_total_bps,opt_total_bps,fixed_min_bps,greedy_min_bps,opt_min_bps,fixed_jain,greedy_jain,opt_jain
1.000000,1792529542.922749,1910387089.474915,1955094781.463272,51756528.968602,66383763.104337,71603199.022476,0.935014,0.969094,0.978989
2.000000,1791841067.958884,1922476154.670475,1956617443.360970,50945787.475989,67742894.240703,73083007.506012,0.931657,0.970834,0.980627
3.000000,1790025811.034219,1931785714.143889,1956534210.622661,50175678.427248,69143832.233675,74399632.636093,0.928511,0.972714,0.981831
4.000000,1789776070.688451,1941397407.418246,1957979587.232759,49522556.143626,70652030.575388,75754795.331111,0.925667,0.974897,0.982948
5.000000,1790792123.868154,1948766230.397025,1958099130.518077,48880440.784518,72180356.536851,76954153.566348,0.922823,0.977022,0.983668
6.000000,1790568025.970741,1953136198.365154,1956910556.157993,48258691.745172,73733518.976157,78145258.193477,0.920049,0.979176,0.984132
7.000000,1788753122.720804,1954196951.855856,1954302959.759281,47623565.579609,75289437.173569,79153947.882613,0.917186,0.981249,0.984348
8.000000,1786371552.051802,1953353209.672683,1951705655.694138,47006744.433923,76856055.589550,80232533.729323,0.914371,0.983294,0.984466
9.000000,1783288797.618509,1949902191.999587,1948328535.235709,46354929.709376,78348331.068000,79789137.293273,0.911535,0.985176,0.984364
10.000000,1780609396.332441,1945851234.129870,1944860399.677024,45727689.208889,75584878.212686,78626433.256233,0.908819,0.982406,0.984125
11.000000,1778661611.492863,1941351147.368887,1941809006.644411,45143678.170493,73256190.412532,77471760.601760,0.906431,0.979816,0.983930
12.000000,1776098223.069588,1935982337.739898,1936831975.196842,44544243.812895,72144598.126515,76246111.109429,0.903987,0.978958,0.983581
13.000000,1772329394.982034,1930372347.737385,1931659757.881190,44009328.954662,71136536.217199,75124169.395147,0.901969,0.978195,0.983208
14.000000,1768465821.724328,1925458977.971776,1927154131.708472,43538172.634246,70214592.000236,74084168.387062,0.900218,0.977388,0.982719
