mean_total_bps,mean_worst_user_bps,wp0_x,wp0_y,wp1_x,wp1_y,wp2_x,wp2_y,wp3_x,wp3_y,wp4_x,wp4_y,wp5_x,wp5_y
2022011341.943854,88999834.808525,408.363403,434.731727,473.612653,357.442340,544.760644,794.254632,757.154915,938.805411,744.968415,617.999050,517.994235,220.560853
2021357128.901389,89003436.240950,407.826986,445.354653,473.984113,354.105124,553.905574,791.831493,747.521022,938.741560,730.275441,620.177705,518.494243,219.976472
2026655699.426455,88746519.345970,429.373706,383.459397,476.463139,372.466368,542.693617,766.220108,744.875153,937.318919,754.837188,656.390115,528.991393,229.160704
2019460762.635589,89115948.847864,402.886581,432.670154,478.845158,337.587691,552.976734,792.271364,749.096045,938.935022,730.295427,617.958975,497.641138,199.104896
2031094716.795875,87627599.082448,504.010449,339.025529,476.496870,402.035538,534.739691,762.269122,719.076550,938.547299,755.921521,663.847384,573.272510,351.116332
2021240380.554497,89030952.619156,402.886581,385.990138,478.862190,370.766075,552.976734,792.349915,746.775242,939.101061,730.295427,620.300345,497.641138,199.104896
2020270650.679030,89102716.976569,413.417430,432.670154,478.845158,337.587691,552.976734,792.271364,748.793888,938.931038,730.295427,620.194316,518.244288,201.569963
2020436214.811969,89065175.385088,407.763194,434.414107,478.486134,353.645887,555.283569,792.548413,750.740422,938.915686,732.298879,626.399938,503.242406,198.278632
2020979036.943559,89055484.422569,402.842736,436.017561,473.419750,337.862418,544.760644,794.308960,750.402617,946.627348,730.560609,617.999050,517.994235,220.560853
2020949000.939979,89061669.581044,408.153187,362.172767,478.617421,353.642899,555.273970,792.548413,749.047368,938.655376,730.275278,620.177772,503.002468,200.438314
2024257992.674978,88999703.280868,424.689289,356.450316,476.971628,357.437179,533.109093,794.272252,749.785925,937.328567,744.984425,626.185534,518.589588,222.385188
2021336637.141091,89010774.552399,402.886581,422.839060,478.862190,370.766075,534.018853,792.349915,746.775242,939.101061,730.295427,620.300345,496.793038,199.104896
2031313765.091609,87252172.626433,448.165383,337.599515,474.201280,404.742505,544.110659,751.605488,733.677954,936.971949,760.105171,648.956002,517.806181,408.687872
2025161386.540471,88978571.500752,443.376414,383.198106,476.971628,355.440279,533.109093,766.589473,749.785925,937.328327,744.984425,626.185534,518.589588,222.385188
2031112086.968320,87526873.489868,504.010449,339.025529,476.496870,402.035538,534.739691,762.269122,719.076550,938.547299,755.921521,663.847384,573.272510,366.848072
2019359264.574783,89119313.217398,402.904915,431.835034,478.845158,337.587691,554.946154,792.271364,750.640812,938.777585,730.295427,617.958975,497.641138,199.112549
2027997925.614794,88627992.154617,426.355581,393.952309,473.580474,371.076960,542.504656,781.007226,735.117477,937.055379,756.303210,649.574137,558.629486,281.175943
2031792527.641308,87029273.507127,497.056653,337.599515,473.566255,407.965058,542.698795,752.283519,726.330893,936.964872,760.105171,653.844137,520.235078,407.245814
2017057563.282777,89146058.299128,403.107198,430.396458,499.393137,284.098406,552.742966,793.627039,749.126858,937.444269,733.393485,626.294754,518.838389,199.244445
2029831927.419391,88094053.304454,449.437550,344.601096,476.468562,369.702471,534.739691,792.658860,733.477449,939.108164,774.766568,648.581383,529.104409,338.083907
2030931303.545942,87842541.040618,446.635386,339.430917,474.216286,402.029612,503.592148,763.174278,733.432984,938.586105,755.109574,614.456773,518.569725,337.363249
2028298468.067033,88568581.566951,413.229917,343.810756,476.425437,400.954823,534.657755,765.930932,744.193179,938.741877,754.837188,621.708227,528.991393,282.612539
2026437806.869851,88813441.786892,426.355581,356.304029,473.580474,372.611356,542.502699,781.007226,735.117477,937.055379,756.303210,649.574137,517.070522,229.472693
2030436752.485925,88034176.672518,488.864491,344.903599,476.474303,369.702471,542.637946,766.249737,733.471925,939.089481,774.766568,648.581383,529.104409,331.830699
2017084777.594661,89145115.705044,403.107198,429.982809,499.393137,284.098406,552.742966,792.209861,749.126858,937.443841,733.393485,626.294754,518.838389,199.244445
2031935487.723823,86941243.159296,497.637735,337.297012,473.560514,407.965058,534.800540,752.283519,726.336417,936.983555,760.105171,653.844137,520.235078,413.499022
2032269575.726628,86559138.396922,497.056653,337.599515,473.494864,409.001596,490.797468,751.605488,726.113222,936.971949,760.105171,656.012071,520.235078,408.687872
2026125854.739836,88922406.354478,443.435528,382.609851,476.916930,355.440279,533.109093,766.589473,731.993596,937.328327,745.103056,626.185534,518.568897,235.584460
2031758275.211828,87038707.212671,497.056653,337.599515,473.566255,405.771664,542.698795,752.283519,726.029270,938.626697,760.590382,653.844137,520.235078,407.245814
2028299761.639575,88497760.960314,429.570688,394.056215,494.282027,371.107619,534.177108,781.007226,735.117477,937.052472,756.407485,649.574137,559.990065,282.430224
2031722150.756443,87160122.854771,497.637735,337.297012,473.560514,407.965058,534.800540,752.283519,726.336417,937.330139,742.595447,625.805948,520.224953,412.957503
2031604032.227636,87182511.759560,504.010449,339.025529,476.492627,402.035538,533.163939,762.269122,718.588607,937.220523,745.589568,663.847384,521.607449,351.116332
2027245654.206054,88739001.827520,443.435528,382.609851,476.916930,355.440279,533.109093,766.589473,731.993596,936.981743,762.612780,654.223724,518.579021,236.125978
2019423515.727572,89119010.027815,402.886581,432.670154,478.845158,337.587691,552.988534,792.271364,750.672289,938.935022,730.295427,617.958975,497.641138,199.104896
2030954362.192133,87711014.546834,460.169755,339.025529,476.496870,402.035538,534.739691,762.269122,719.076550,938.547299,755.921521,663.847384,573.272510,366.848072
2029542886.729834,88435385.067967,448.165383,337.599515,474.201280,406.261323,544.110659,751.605488,733.677954,937.057463,760.105171,649.586597,558.574804,276.909597
2030825647.068380,88019702.722099,483.818556,339.126019,476.496870,402.035538,542.891163,761.968813,733.803017,938.547299,755.921521,649.410736,573.272510,351.116332
2028191372.899767,88608491.259203,426.355581,393.952309,473.580474,371.076960,542.504656,771.416752,735.117477,937.055379,756.303210,649.574137,558.629486,281.175943
2019339377.149622,89120294.454194,403.107055,431.835034,478.942266,337.587691,555.005126,793.674062,750.640812,937.446651,730.295427,617.958975,497.641138,199.110213
