time_s,fixed_total_bps,greedy_total_bps,opt_total_bps,fixed_min_bps,greedy_min_bps,opt_min_bps,fixed_jain,greedy_jain,opt_jain
1.000000,1872884921.674321,1871947302.753324,1872810824.961926,51942518.484098,53032482.569206,52170057.109875,0.960578,0.961615,0.960572
2.000000,1875223496.484718,1875199764.520893,1875087220.291188,52290212.968677,51848187.594850,52657020.304909,0.961265,0.961089,0.961316
3.000000,1877584738.836246,1876911553.960804,1877384797.984418,52246080.572956,50280253.182319,52749311.617663,0.962093,0.960520,0.962204
4.000000,1880006340.089685,1878819481.691520,1879745635.382732,52106963.695332,49684075.509941,52743815.648272,0.963338,0.961309,0.963506
5.000000,1882902364.133915,1881701938.321256,1882599485.540748,52096704.263645,49664888.153394,52867476.276058,0.964579,0.962548,0.964810
6.000000,1885665632.112937,1884407203.305911,1885340496.528850,52075355.865172,49635586.848145,52978496.848910,0.965621,0.963594,0.965908
7.000000,1888464067.592853,1887152761.279592,1888132671.839815,51972979.526418,49530754.440059,53005021.778839,0.966485,0.964474,0.966835
8.000000,1890719969.362046,1889366058.304581,1890397747.940796,51712176.377227,49278368.403991,52867007.130526,0.967082,0.965082,0.967487
9.000000,1893419209.439129,1891982752.888723,1893147131.268423,52133948.365661,49670411.315190,53438130.510714,0.967990,0.965988,0.968451
10.000000,1895992262.797067,1894387510.233202,1895791420.556746,52913956.513938,50400852.126498,54386988.529863,0.968978,0.966941,0.969504
11.000000,1898430171.510127,1896657800.923516,1898295470.913306,53685153.528364,51121462.490608,55328735.953056,0.969989,0.967923,0.970568
12.000000,1899592655.755796,1899080485.799461,1899543551.720699,54521919.296211,53543322.741517,56342134.808458,0.970886,0.970267,0.971493
13.000000,1900620518.629627,1899708410.948085,1900676983.657392,55348091.003882,56072606.137295,57354088.378736,0.971646,0.972318,0.972266
14.000000,1901533140.815391,1899809648.284290,1901817110.834501,56288461.530632,57925545.718751,58489195.859667,0.972456,0.973713,0.973084
15.000000,1903380693.086797,1903180540.118359,1903930240.476462,57382755.026563,60338951.490032,59786355.762301,0.973385,0.974912,0.974015
16.000000,1904954247.868205,1905070829.835427,1905874731.971350,58463149.424677,62756240.720643,61074843.882457,0.974195,0.975468,0.974831
17.000000,1908461803.410430,1908725601.957714,1909864612.149861,59432240.509669,64435772.860143,62255859.181247,0.975318,0.976344,0.976015
18.000000,1912089356.362181,1913178373.238209,1914018906.274502,60506048.478575,65605468.454110,63556320.809347,0.976387,0.977452,0.977141
19.000000,1916000504.727815,1917911003.822937,1918497029.592448,61446868.936054,66624894.273538,64718969.894289,0.977395,0.978540,0.978231
20.000000,1919114881.467290,1921851782.507701,1922220914.765672,62207922.394283,67465109.819418,65709709.295065,0.978211,0.979457,0.979146
21.000000,1922788785.196592,1926300728.517156,1926508423.552324,63055388.548551,68398700.555436,66798025.438509,0.979103,0.980429,0.980126
22.000000,1926117394.398910,1930381148.654573,1930475601.989671,63843927.112525,69263130.713997,67825320.969828,0.979969,0.981419,0.981118
23.000000,1928859174.007825,1933898049.973819,1933908317.888899,64735728.273677,70228248.168283,68958433.351016,0.980815,0.982368,0.982080
24.000000,1931653165.442089,1937461524.940224,1937417906.138556,65687577.662586,71248153.959698,70151622.896666,0.981605,0.983280,0.983007
25.000000,1934124851.391752,1940708119.003321,1940638624.999719,66663578.221780,72291495.375960,71373160.469910,0.982337,0.984159,0.983903
26.000000,1936496221.138720,1943874023.905007,1943803095.336805,67665047.842309,73349951.732590,72614272.328363,0.982951,0.984917,0.984683
27.000000,1938845845.246834,1946919091.240941,1946879293.353426,68674020.901720,74411718.348937,73862476.644966,0.983467,0.985548,0.985343
28.000000,1940818024.552182,1949589634.241955,1949611608.105193,69705903.494831,75491965.703497,75132282.693843,0.983925,0.986104,0.985931
29.000000,1942723366.909059,1952277484.082342,1952392839.040505,70638702.017317,76474933.163756,76308888.437950,0.984397,0.986689,0.986554
30.000000,1944461675.548924,1954745005.995724,1954990018.578102,71598676.744335,77479045.549077,77508690.719791,0.984814,0.987220,0.987124
31.000000,1946155896.447080,1957062734.181371,1957458992.043322,72580301.159324,77914650.150546,77327223.197359,0.985144,0.987632,0.987578
32.000000,1948390476.006774,1959772225.717936,1960320894.417391,73418423.853464,77803520.723500,77149621.451753,0.985466,0.988020,0.988006
33.000000,1949840981.277929,1961773465.767401,1962499824.104293,74211716.751197,77843544.574695,77128804.789753,0.985663,0.988301,0.988333
34.000000,1952443486.461514,1964876764.209648,1965780593.058681,75327714.580319,77928276.162603,77161179.561667,0.986014,0.988652,0.988715
35.000000,1954669396.790873,1967537222.957526,1968614392.757010,76635854.811185,77806634.271164,76994940.877785,0.986374,0.988935,0.989009
36.000000,1956182326.326841,1969535301.227091,1970811626.748333,77711516.707399,77744543.507014,76896373.890296,0.986644,0.989139,0.989217
37.000000,1957693895.148790,1971439366.358688,1972905815.619068,78839657.882443,77631543.522760,76748024.349925,0.986891,0.989300,0.989370
38.000000,1958518766.289152,1972560914.979798,1974197254.472464,78411139.457249,77174246.416489,76259425.526297,0.986973,0.989291,0.989342
39.000000,1958848728.836669,1973154140.004703,1974955004.634856,77900033.376722,76752131.312028,75811745.891917,0.987027,0.989244,0.989261
40.000000,1959177615.574122,1975516758.163784,1975824736.473873,77210186.540719,74373360.031819,75178275.947437,0.987095,0.989018,0.989197
41.000000,1959106564.837277,1975432075.727266,1976342249.529102,76586866.085089,72084665.099051,74621224.737658,0.987162,0.988273,0.989101
42.000000,1958544357.706349,1974208356.243688,1976236371.959513,76302971.113383,71069411.715506,74423283.410508,0.987176,0.987568,0.988918
43.000000,1958093809.302967,1974059973.343064,1976138869.805083,76165127.728211,71100015.180096,74378476.188606,0.987221,0.987352,0.988742
44.000000,1956945046.894955,1973089628.186332,1975186803.927326,75816426.242841,70920917.752026,74125102.382468,0.987180,0.987015,0.988445
45.000000,1957098193.966035,1973353653.128845,1975456430.007972,75571839.135726,70846816.970524,73983386.570752,0.987322,0.986738,0.988220
46.000000,1957610231.956394,1973934702.509944,1976039719.790898,75455089.891118,70908602.534717,73983873.515593,0.987408,0.986431,0.987943
47.000000,1958470599.868286,1974779771.488684,1976877863.697283,75652165.575586,71263177.061179,74290009.176180,0.987502,0.986200,0.987709
48.000000,1958856286.972060,1975105288.672951,1977166583.831915,75870999.270869,71640343.930332,74623309.904091,0.987529,0.985896,0.987399
49.000000,1958948365.008363,1975002293.589343,1977063639.283792,75909254.388404,71848340.196229,74788021.280528,0.987483,0.985510,0.987005
50.000000,1959250702.286007,1975168626.188053,1977163817.074667,76084297.725078,72188178.797021,75091724.611997,0.987414,0.985151,0.986620
51.000000,1959242421.999055,1975129070.215715,1977026112.263572,76150175.494070,72425962.529168,75295930.648121,0.987289,0.984750,0.986181
52.000000,1959923974.641112,1975557602.387670,1977389821.704210,74887809.266671,72610972.541534,75450421.530491,0.987139,0.984506,0.985891
53.000000,1961406765.353682,1976792639.524876,1978571041.762376,73813757.116388,72565816.839418,75377437.251508,0.987068,0.984464,0.985808
54.000000,1961970105.830420,1977260418.772474,1978951801.665416,72781864.017979,72148111.372784,74932059.616506,0.986822,0.984256,0.985563
55.000000,1962134323.268212,1977548701.789129,1979100965.810708,71767894.457870,71732225.923193,74492785.977427,0.986582,0.984102,0.985371
56.000000,1962033222.799666,1977638860.744786,1979018094.908462,70928898.899274,71566523.888962,74312360.811079,0.986345,0.984061,0.985273
57.000000,1961227118.166640,1976712368.760067,1977924796.313866,70080083.583804,71405702.680306,74142315.447510,0.986050,0.983868,0.985029
58.000000,1959764960.918117,1975243468.740539,1976257008.423102,69328045.170071,71246437.363773,73979618.634306,0.985733,0.983645,0.984765
59.000000,1958227372.767554,1973740420.146417,1974652744.985115,68699038.274155,71128409.539384,73863178.156677,0.985396,0.983429,0.984526
60.000000,1957315102.627193,1973063513.319986,1973928365.284657,68344079.305658,70894208.117142,73633174.193708,0.985108,0.983352,0.984446
61.000000,1956734801.214251,1972779806.950626,1973945366.734393,68214042.835019,70992766.320684,73912155.814136,0.984893,0.983427,0.984742
62.000000,1956237784.177592,1972421713.020271,1973828347.123758,68253890.583949,71277480.931555,74373037.016151,0.984752,0.983612,0.985113
63.000000,1955916250.396965,1972059677.297286,1973656549.999719,68137552.080924,71662883.009338,74928864.960073,0.984600,0.983758,0.985430
64.000000,1954536756.182594,1970617949.252569,1972374248.244216,67905177.044023,71801716.204094,75225569.714948,0.984278,0.983642,0.985496
65.000000,1952637797.946863,1968682667.528359,1970525730.645372,67659161.841775,71718010.826394,75287113.121285,0.983804,0.983427,0.985450
66.000000,1949380572.436787,1965370151.537827,1967260484.082621,67247634.726408,71551847.656704,75255906.036543,0.983146,0.983009,0.985201
67.000000,1946083953.017171,1962133732.280734,1964033191.714223,66821417.597153,71260812.979239,75088655.708887,0.982457,0.982573,0.984916
68.000000,1944444696.352602,1960409416.946129,1962341480.080748,66588445.352860,70897571.493298,74837038.325660,0.981964,0.982132,0.984653
69.000000,1943248809.356381,1959153402.568109,1961077795.608623,66311591.534122,70639504.988875,74682107.002162,0.981427,0.981628,0.984321
70.000000,1942004354.728494,1957602498.413896,1959578893.107631,66000646.699127,70333867.524329,74471846.423730,0.980812,0.981061,0.983932
71.000000,1940334945.310781,1955557824.332893,1957649885.427323,65609507.182011,69935147.029803,74157807.424153,0.980100,0.980423,0.983471
72.000000,1938357556.428647,1953025510.733197,1955251901.555630,65441382.038572,69159896.288477,73456345.356705,0.979285,0.979620,0.982874
73.000000,1937985461.881817,1951882024.142193,1954395245.213587,65234432.172739,68325913.023926,72688351.427609,0.978742,0.978974,0.982508
74.000000,1937585968.030548,1952019834.629607,1953270520.430269,64725338.646918,68154170.430646,71815859.443879,0.978066,0.979237,0.982011
75.000000,1937237152.950478,1950756892.173514,1952260451.729871,64323181.111087,67849205.613844,70912090.563194,0.977353,0.979276,0.981496
76.000000,1936690163.757879,1949006233.263256,1951129732.650237,63907010.473622,67143043.615755,69983659.612716,0.976562,0.978781,0.980918
77.000000,1936550010.092834,1949855641.533599,1950374208.382665,63370365.335541,69247350.660134,69687662.311369,0.975877,0.980187,0.980432
78.000000,1937299276.948170,1949931319.198819,1950589142.698245,62954774.918025,72640662.507288,70625365.456413,0.975569,0.981760,0.980271
79.000000,1936866345.493379,1948401962.551419,1949675279.848879,62491027.690659,73296540.521635,70945331.411667,0.975159,0.982305,0.980039
80.000000,1937063488.774920,1948230633.590312,1949342712.425313,61977234.827288,72716968.286326,70293523.720654,0.974718,0.981990,0.979756
81.000000,1936373971.081733,1947161844.748995,1948162238.564144,61442538.835041,72109713.091803,69608978.600232,0.974221,0.981585,0.979396
82.000000,1935713985.719008,1946087735.154013,1947017975.396838,60876309.927252,71209922.944919,68880244.203774,0.973572,0.980986,0.978851
83.000000,1936232250.066274,1945912179.648728,1946877077.222999,60268234.603745,70763563.597968,68096291.364279,0.973167,0.980671,0.978597
84.000000,1937970809.055602,1947004238.084045,1948021891.194821,59676172.767842,70078375.098785,67322887.520125,0.973048,0.980678,0.978663
